unit_id,unit_anchor,region,unit_size,sector,coordination_tier,n_comunas_sharing,n_action_archetypes,instrument_class,viable_anchor,actor_route,bundle_feasible
32,Pelluhue,Región del Maule,13,Stationary Energy,highly_coordinated,13,20,pooled grant/loan · ESCO · debt,True,municipal applicant,True
32,Pelluhue,Región del Maule,13,Stationary Energy,semi_coordinated,13,9,programmatic / blended,True,municipal applicant,True
28,Padre Las Casas,Región de La Araucanía,12,Stationary Energy,highly_coordinated,12,20,pooled grant/loan · ESCO · debt,True,municipal applicant,True
28,Padre Las Casas,Región de La Araucanía,12,Stationary Energy,semi_coordinated,12,9,programmatic / blended,True,municipal applicant,True
19,Santa Cruz,Región del Libertador Bernardo O'Higgins,9,Stationary Energy,highly_coordinated,9,20,pooled grant/loan · ESCO · debt,True,municipal applicant,True
19,Santa Cruz,Región del Libertador Bernardo O'Higgins,9,Stationary Energy,semi_coordinated,9,9,programmatic / blended,True,municipal applicant,True
21,Puchuncaví,Región de Valparaíso,11,Stationary Energy,highly_coordinated,9,20,pooled grant/loan · ESCO · debt,True,municipal applicant,True
21,Puchuncaví,Región de Valparaíso,11,Stationary Energy,semi_coordinated,9,9,programmatic / blended,True,municipal applicant,True
24,Puerto Montt,Región de Los Lagos,11,Stationary Energy,highly_coordinated,9,20,pooled grant/loan · ESCO · debt,True,municipal applicant,True
24,Puerto Montt,Región de Los Lagos,11,Stationary Energy,semi_coordinated,9,9,programmatic / blended,True,municipal applicant,True
28,Padre Las Casas,Región de La Araucanía,12,Transportation,highly_coordinated,9,1,pooled grant/loan · ESCO · debt,True,municipal applicant,True
28,Padre Las Casas,Región de La Araucanía,12,Transportation,semi_coordinated,9,5,programmatic / blended,True,municipal applicant,True
12,Rancagua,Región del Libertador Bernardo O'Higgins,8,Stationary Energy,highly_coordinated,8,20,pooled grant/loan · ESCO · debt,True,municipal applicant,True
12,Rancagua,Región del Libertador Bernardo O'Higgins,8,Stationary Energy,semi_coordinated,8,9,programmatic / blended,True,municipal applicant,True
22,San Pedro de Atacama,Región de Antofagasta,8,Stationary Energy,highly_coordinated,8,20,pooled grant/loan · ESCO · debt,True,municipal applicant,True
22,San Pedro de Atacama,Región de Antofagasta,8,Stationary Energy,semi_coordinated,8,9,programmatic / blended,True,municipal applicant,True
7,Concepción,Región del Bío-Bío,7,Stationary Energy,highly_coordinated,7,20,pooled grant/loan · ESCO · debt,True,municipal applicant,True
7,Concepción,Región del Bío-Bío,7,Stationary Energy,semi_coordinated,7,9,programmatic / blended,True,municipal applicant,True
9,Coyhaique,Región de Aysén del Gral. Ibañez del Campo,9,Stationary Energy,highly_coordinated,7,20,pooled grant/loan · ESCO · debt,True,municipal applicant,True
9,Coyhaique,Región de Aysén del Gral. Ibañez del Campo,9,Stationary Energy,semi_coordinated,7,9,programmatic / blended,True,municipal applicant,True
21,Puchuncaví,Región de Valparaíso,11,Transportation,highly_coordinated,7,1,pooled grant/loan · ESCO · debt,True,municipal applicant,True
21,Puchuncaví,Región de Valparaíso,11,Transportation,semi_coordinated,7,5,programmatic / blended,True,municipal applicant,True
24,Puerto Montt,Región de Los Lagos,11,Transportation,highly_coordinated,7,1,pooled grant/loan · ESCO · debt,True,municipal applicant,True
24,Puerto Montt,Región de Los Lagos,11,Transportation,semi_coordinated,7,5,programmatic / blended,True,municipal applicant,True
25,San Carlos,Región de Ñuble,7,Stationary Energy,highly_coordinated,7,20,pooled grant/loan · ESCO · debt,True,municipal applicant,True
25,San Carlos,Región de Ñuble,7,Stationary Energy,semi_coordinated,7,9,programmatic / blended,True,municipal applicant,True
36,Molina,Región del Maule,7,Stationary Energy,highly_coordinated,7,20,pooled grant/loan · ESCO · debt,True,municipal applicant,True
36,Molina,Región del Maule,7,Stationary Energy,semi_coordinated,7,9,programmatic / blended,True,municipal applicant,True
39,Cabrero,Región del Bío-Bío,9,Stationary Energy,highly_coordinated,7,20,pooled grant/loan · ESCO · debt,True,municipal applicant,True
39,Cabrero,Región del Bío-Bío,9,Stationary Energy,semi_coordinated,7,9,programmatic / blended,True,municipal applicant,True
7,Concepción,Región del Bío-Bío,7,Transportation,highly_coordinated,6,1,pooled grant/loan · ESCO · debt,True,municipal applicant,True
7,Concepción,Región del Bío-Bío,7,Transportation,semi_coordinated,6,5,programmatic / blended,True,municipal applicant,True
7,Concepción,Región del Bío-Bío,7,Waste,highly_coordinated,6,1,pooled grant/loan · ESCO · debt,True,municipal applicant,True
7,Concepción,Región del Bío-Bío,7,Waste,semi_coordinated,6,7,programmatic / blended,True,municipal applicant,True
10,Peñaflor,Región Metropolitana de Santiago,6,Stationary Energy,highly_coordinated,6,20,pooled grant/loan · ESCO · debt,True,municipal applicant,True
10,Peñaflor,Región Metropolitana de Santiago,6,Stationary Energy,semi_coordinated,6,9,programmatic / blended,True,municipal applicant,True
10,Peñaflor,Región Metropolitana de Santiago,6,Transportation,highly_coordinated,6,1,pooled grant/loan · ESCO · debt,True,municipal applicant,True
10,Peñaflor,Región Metropolitana de Santiago,6,Transportation,semi_coordinated,6,5,programmatic / blended,True,municipal applicant,True
10,Peñaflor,Región Metropolitana de Santiago,6,Waste,highly_coordinated,6,1,pooled grant/loan · ESCO · debt,True,municipal applicant,True
10,Peñaflor,Región Metropolitana de Santiago,6,Waste,semi_coordinated,6,7,programmatic / blended,True,municipal applicant,True
12,Rancagua,Región del Libertador Bernardo O'Higgins,8,Transportation,highly_coordinated,6,1,pooled grant/loan · ESCO · debt,True,municipal applicant,True
12,Rancagua,Región del Libertador Bernardo O'Higgins,8,Transportation,semi_coordinated,6,5,programmatic / blended,True,municipal applicant,True
12,Rancagua,Región del Libertador Bernardo O'Higgins,8,Waste,highly_coordinated,6,1,pooled grant/loan · ESCO · debt,True,municipal applicant,True
12,Rancagua,Región del Libertador Bernardo O'Higgins,8,Waste,semi_coordinated,6,7,programmatic / blended,True,municipal applicant,True
18,Iquique,Región de Tarapacá,7,Stationary Energy,highly_coordinated,6,20,pooled grant/loan · ESCO · debt,True,municipal applicant,True
18,Iquique,Región de Tarapacá,7,Stationary Energy,semi_coordinated,6,9,programmatic / blended,True,municipal applicant,True
21,Puchuncaví,Región de Valparaíso,11,Waste,highly_coordinated,6,1,pooled grant/loan · ESCO · debt,True,municipal applicant,True
21,Puchuncaví,Región de Valparaíso,11,Waste,semi_coordinated,6,7,programmatic / blended,True,municipal applicant,True
27,Osorno,Región de Los Lagos,6,Stationary Energy,highly_coordinated,6,20,pooled grant/loan · ESCO · debt,True,municipal applicant,True
27,Osorno,Región de Los Lagos,6,Stationary Energy,semi_coordinated,6,9,programmatic / blended,True,municipal applicant,True
28,Padre Las Casas,Región de La Araucanía,12,Waste,highly_coordinated,6,1,pooled grant/loan · ESCO · debt,True,municipal applicant,True
28,Padre Las Casas,Región de La Araucanía,12,Waste,semi_coordinated,6,7,programmatic / blended,True,municipal applicant,True
38,Traiguén,Región de La Araucanía,6,Stationary Energy,highly_coordinated,6,20,pooled grant/loan · ESCO · debt,True,municipal applicant,True
38,Traiguén,Región de La Araucanía,6,Stationary Energy,semi_coordinated,6,9,programmatic / blended,True,municipal applicant,True
50,Linares,Región del Maule,6,Stationary Energy,highly_coordinated,6,20,pooled grant/loan · ESCO · debt,True,municipal applicant,True
50,Linares,Región del Maule,6,Stationary Energy,semi_coordinated,6,9,programmatic / blended,True,municipal applicant,True
58,Los Andes,Región de Valparaíso,6,Stationary Energy,highly_coordinated,6,20,pooled grant/loan · ESCO · debt,True,municipal applicant,True
58,Los Andes,Región de Valparaíso,6,Stationary Energy,semi_coordinated,6,9,programmatic / blended,True,municipal applicant,True
67,Lebu,Región del Bío-Bío,6,Stationary Energy,highly_coordinated,6,20,pooled grant/loan · ESCO · debt,True,municipal applicant,True
67,Lebu,Región del Bío-Bío,6,Stationary Energy,semi_coordinated,6,9,programmatic / blended,True,municipal applicant,True
1,Lo Barnechea,Región Metropolitana de Santiago,6,Stationary Energy,highly_coordinated,5,20,pooled grant/loan · ESCO · debt,True,municipal applicant,True
1,Lo Barnechea,Región Metropolitana de Santiago,6,Stationary Energy,semi_coordinated,5,9,programmatic / blended,True,municipal applicant,True
1,Lo Barnechea,Región Metropolitana de Santiago,6,Transportation,highly_coordinated,5,1,pooled grant/loan · ESCO · debt,True,municipal applicant,True
1,Lo Barnechea,Región Metropolitana de Santiago,6,Transportation,semi_coordinated,5,5,programmatic / blended,True,municipal applicant,True
2,Valparaíso,Región de Valparaíso,5,Stationary Energy,highly_coordinated,5,20,pooled grant/loan · ESCO · debt,True,municipal applicant,True
2,Valparaíso,Región de Valparaíso,5,Stationary Energy,semi_coordinated,5,9,programmatic / blended,True,municipal applicant,True
2,Valparaíso,Región de Valparaíso,5,Transportation,highly_coordinated,5,1,pooled grant/loan · ESCO · debt,True,municipal applicant,True
2,Valparaíso,Región de Valparaíso,5,Transportation,semi_coordinated,5,5,programmatic / blended,True,municipal applicant,True
5,Lampa,Región Metropolitana de Santiago,5,Stationary Energy,highly_coordinated,5,20,pooled grant/loan · ESCO · debt,True,municipal applicant,True
5,Lampa,Región Metropolitana de Santiago,5,Stationary Energy,semi_coordinated,5,9,programmatic / blended,True,municipal applicant,True
5,Lampa,Región Metropolitana de Santiago,5,Transportation,highly_coordinated,5,1,pooled grant/loan · ESCO · debt,True,municipal applicant,True
5,Lampa,Región Metropolitana de Santiago,5,Transportation,semi_coordinated,5,5,programmatic / blended,True,municipal applicant,True
11,Valdivia,Región de Los Ríos,6,Stationary Energy,highly_coordinated,5,20,pooled grant/loan · ESCO · debt,True,municipal applicant,True
11,Valdivia,Región de Los Ríos,6,Stationary Energy,semi_coordinated,5,9,programmatic / blended,True,municipal applicant,True
19,Santa Cruz,Región del Libertador Bernardo O'Higgins,9,Transportation,highly_coordinated,5,1,pooled grant/loan · ESCO · debt,True,municipal applicant,True
19,Santa Cruz,Región del Libertador Bernardo O'Higgins,9,Transportation,semi_coordinated,5,5,programmatic / blended,True,municipal applicant,True
32,Pelluhue,Región del Maule,13,Transportation,highly_coordinated,5,1,pooled grant/loan · ESCO · debt,True,municipal applicant,True
32,Pelluhue,Región del Maule,13,Transportation,semi_coordinated,5,5,programmatic / blended,True,municipal applicant,True
32,Pelluhue,Región del Maule,13,Waste,highly_coordinated,5,1,pooled grant/loan · ESCO · debt,True,municipal applicant,True
32,Pelluhue,Región del Maule,13,Waste,semi_coordinated,5,7,programmatic / blended,True,municipal applicant,True
37,Rengo,Región del Libertador Bernardo O'Higgins,5,Stationary Energy,highly_coordinated,5,20,pooled grant/loan · ESCO · debt,True,municipal applicant,True
37,Rengo,Región del Libertador Bernardo O'Higgins,5,Stationary Energy,semi_coordinated,5,9,programmatic / blended,True,municipal applicant,True
