idx,enriched,source_dataset,funder_institution,program_name,program_family,eligible_actor,instrument_type,amount_clp,amount_note,gpc_sectors,specificity,climate_relevance_norm,status,recurrence,open_date,close_date,access_pathway,detail_level,status_as_of,source_url,notes,fetch_status,enr_amount,enr_eligible_actor,enr_objetivo,enr_status,enr_dates,enr_geography,enr_funder,enr_other,doc_count,doc_links
0,yes,cl-mma,Ministerio del Medio Ambiente (MMA),FPA 2026 - Proyectos Sustentables Ciudadanos,FPA Ciudadanos,community/citizen org,grant,6000000.0,,"[""cross_sector"", ""waste"", ""stationary_energy"", ""afolu"", ""water""]",sector-specific,explicit,closed,annual,2025-08-26,2025-10-07,direct application (via fondos.gob.cl),detailed,2026-06-08,https://fondos.mma.gob.cl/fpa-2026-proyectos-sustentables-ciudadanos/,FPA,ok (from deep-sample; see research/ Bases walkthrough),"$6,000,000 CLP fixed grant per project","non-profit legal persons (juntas de vecinos, comunidades agrícolas, ONG/fundaciones/corporaciones). EXPLICITLY NOT municipal corporations / associations of municipalities, universities, CONADI indigenous communities.",Citizen initiatives for environmental protection/education/community action.,,"open 2025-08-26, close 2025-10-07; recurrence annual (~Aug-Oct)",,Ministerio del Medio Ambiente (MMA) — FPA,thematic_lines: Ecotecnias Hídricas; Cambio Climático y Descontaminación; Economía Circular y Residuos; Biodiversidad; Eficiencia Energética y ERNC | geography_bonus: SCAM/SIAAM comunas; CITSEJ sacrifice zones; Rapa Nui; Temuco/Padre Las Casas PDA; SUBDERE Zonas en Desarrollo | evaluation: 0.0-3.0 scale; preselection threshold >=2.25 (rubric in Anexo 6),6,Bases Especiales FPA 2026 Ciudadanos -> https://fondos.mma.gob.cl/wp-content/uploads/2025/08/Bases-Especiales-Proyectos-Sustentables-Ciudadanos-FPA_2026.pdf ;; Resolución Exenta 5796 (aprueba Bases) -> https://fondos.mma.gob.cl/wp-content/uploads/2025/08/Resolucion-Exenta-5796-Aprueba-Bases-FPA-2026-Proyectos-Sustentables-Ciudadanos.pdf ;; Manual de Funcionamiento Organismos Beneficiarios -> https://fondos.mma.gob.cl/wp-content/uploads/2025/08/Manual-de-Funcionamiento-Organismos-Beneficiarios-FPA_2026.pdf ;; Anexo 06 - Pauta de Evaluación (scoring rubric) -> https://fondos.mma.gob.cl/wp-content/uploads/2025/08/Anexo-06-Pauta-de-Evaluacion-FPA-2026-PSC.pdf ;; Publicación de Resultados FPA 2026 -> https://fondos.mma.gob.cl/wp-content/uploads/2026/01/Publicacion-de-Resultados-FPA-2026-VF-2-1.pdf ;; Resolución 318 - Selecciona y Adjudica (awarded list) -> https://fondos.mma.gob.cl/wp-content/uploads/2026/01/Res-318-Selecciona-y-Adjudica-FPA-2026-PSC.pdf
1,yes,cl-mma,Ministerio del Medio Ambiente (MMA),FPA 2026 - Proyectos Sustentables en Establecimientos Educacionales,FPA Educacionales,community/citizen org,grant,6000000.0,,"[""cross_sector"", ""waste"", ""stationary_energy"", ""afolu"", ""water""]",sector-specific,explicit,closed,annual,2025-08-26,2025-10-07,direct application (via fondos.gob.cl),detailed,2026-06-08,https://fondos.mma.gob.cl/fpa-2026-proyectos-sustentables-en-establecimientos-educacionales/,FPA,ok,"$6,000,000 CLP",Centros de Padres y Apoderados (non-profit legal personality) of parvularia/básica/media schools — NOT municipalities,,,"open 2025-08-26, close 2025-10-07; annual",,MMA — FPA,thematic_lines: Hídricas; Cambio Climático; Economía Circular/Residuos; Biodiversidad; Eficiencia Energética/ERNC,4,Bases Especiales FPA 2026 Educacionales -> https://fondos.mma.gob.cl/wp-content/uploads/2025/08/Bases-Especiales-Proyectos-Sustentables-en-Establecimientos-Educacionales-FPA_2026.pdf ;; Anexo 06 - Pauta de Evaluación PSEE -> https://fondos.mma.gob.cl/wp-content/uploads/2025/08/Anexo-06-Pauta-de-Evaluacion-FPA-2026-PSEE.pdf ;; Res. Ex. 5797 (aprueba Bases) -> https://fondos.mma.gob.cl/wp-content/uploads/2025/08/Resolucion-Exenta-5797-Aprueba-Bases-FPA-2026-Proyectos-Sustentables-Establecimientos-Educacionales.pdf ;; Res. Ex. 317 - Selecciona y Adjudica -> https://fondos.mma.gob.cl/wp-content/uploads/2026/01/Res-Ex-317-Selecciona-y-Adjudica-FPA-2026-PSEE.pdf
2,yes,cl-mma,Ministerio del Medio Ambiente (MMA),FPA 2026 - Proyectos Sustentables para Pueblos Indígenas,FPA Pueblos Indígenas,indigenous community,grant,6000000.0,,"[""cross_sector"", ""waste"", ""stationary_energy"", ""afolu"", ""water""]",sector-specific,explicit,closed,annual,2025-08-26,2025-10-07,direct application (via fondos.gob.cl),detailed,2026-06-08,https://fondos.mma.gob.cl/fpa-2026-proyectos-sustentables-para-pueblos-indigenas/,FPA,ok,"$6,000,000 CLP",Comunidades o Asociaciones Indígenas registered with CONADI,,,"open 2025-08-26, close 2025-10-07; annual",,MMA — FPA,,4,Bases Especiales FPA 2026 Pueblos Indígenas -> https://fondos.mma.gob.cl/wp-content/uploads/2025/08/Bases_Especiales_Proyectos_Sustentables_para_Pueblos_Indigenas-FPA_2026.pdf ;; Anexo 06 - Pauta de Evaluación PSPI -> https://fondos.mma.gob.cl/wp-content/uploads/2025/08/Anexo-06-Pauta-de-Evaluacion_FPA_2026-PSPI.pdf ;; Res. Ex. 5798 (aprueba Bases) -> https://fondos.mma.gob.cl/wp-content/uploads/2025/08/Resolucion-Exenta-5798-Aprueba-Bases-FPA-2026-Proyectos-Sustentables-Pueblos-Indigenas.pdf ;; Res. Ex. 316 - Selecciona y Adjudica -> https://fondos.mma.gob.cl/wp-content/uploads/2026/01/Res-316-Selecciona-y-Adjudica-FPA-2026-PSPI.pdf
3,yes,cl-mma,Ministerio del Medio Ambiente (MMA),FPA Extraordinario Rapa Nui 2026,FPA Rapa Nui,indigenous community,grant,100000000.0,amount_suspect (source typo),"[""afolu""]",sector-specific,explicit,closed,sporadic,2025-10-02,2025-10-24,direct application (via fondos.gob.cl),detailed,2026-06-08,https://fondos.mma.gob.cl/fpa-2026-rapanui/,FPA,ok,"~$10,000,000 CLP (page prints '$10.000.0000' — typo flagged amount_suspect in source review)",Comunidades o Asociaciones Indígenas (CONADI),Protect/conserve Rapa Nui marine environment & biodiversity with traditional practices.,,"open 2025-10-02, close 2025-10-24; one-off",Rapa Nui only,MMA — FPA (extraordinario),,4,Bases Concurso Extraordinario Rapa Nui 2026 -> https://fondos.mma.gob.cl/wp-content/uploads/2025/10/Bases-Concurso-Extraordinario-Rapa-Nui-2026_f.pdf ;; Anexo 1 - Pauta de Evaluación -> https://fondos.mma.gob.cl/wp-content/uploads/2025/10/Anexo-01-Pauta-de-Evaluacion-FPA-Extraordinario-RAPA-NUI-2026.pdf ;; Res. Ex. 6732/2025 (aprueba Bases) -> https://fondos.mma.gob.cl/wp-content/uploads/2025/10/RES-6732-Aprueba-Bases-Especiales-Concurso-Extraordinario-Rapa-Nui-2026.pdf ;; Res. Ex. 07981/2025 - Adjudica (awarded list) -> https://fondos.mma.gob.cl/wp-content/uploads/2025/11/Resolucion-Exenta-079812025-Adjudica-Proyectos-Concurso-Rapa-Nui-2026.pdf
4,yes,cl-mma,Ministerio del Medio Ambiente (MMA),FPA 2025 - Alto del Carmen: Ecosistemas Altoandinos – Humedales y Criósfera,FPA Alto del Carmen,research/university + ngo,grant,70000000.0,,"[""afolu""]",sector-specific,explicit,closed,one-off,2025-08-05,2025-09-17,direct application (via fondos.gob.cl),detailed,2026-06-08,https://fondos.mma.gob.cl/altodelcarmen-hidrico-2025/,FPA,ok,"$70,000,000 CLP (single total)",Fundaciones/Corporaciones/ONG; public/private universities; research centres,Knowledge + valorisation of high-Andean wetlands and cryosphere.,,"open 2025-08-05, close 2025-09-17; one-off","Comuna Alto del Carmen, Región de Atacama",MMA — FPA (territorial),,3,Bases Concurso FPA Ecosistemas Altoandinos Humedales -> https://fondos.mma.gob.cl/wp-content/uploads/2025/08/Bases_Concurso_FPA_Puesta_en_valor_de_los_Ecosistemas_Altoandinos_Humedales.pdf ;; Res. Ex. 5164/2025 (aprueba Bases) -> https://fondos.mma.gob.cl/wp-content/uploads/2025/08/Resolucion_Ex_No5164-2025_Aprueba_Bases_Concurso_FPA_Puesta_en_valor_de_los_Ecosistemas_Altoandinos_Humedales_y_Criosfera.pdf ;; Res. Ex. 223/2025 - Adjudica (awarded list) -> https://fondos.mma.gob.cl/wp-content/uploads/2026/01/Resolucion-Exenta-N°223-2025-Adjudica-FPA-Alto-del-Carmen_Hidro.pdf
5,yes,cl-mma,Ministerio del Medio Ambiente (MMA),FPA 2025 - Alto del Carmen: Ecosistemas Altoandinos – Biodiversidad,FPA Alto del Carmen,research/university + ngo,grant,60000000.0,,"[""afolu""]",sector-specific,explicit,closed,one-off,2025-08-05,2025-09-17,direct application (via fondos.gob.cl),detailed,2026-06-08,https://fondos.mma.gob.cl/altodelcarmen-biodiversidad-2025/,FPA,ok,"$60,000,000 CLP (single total)",Fundaciones/Corporaciones/ONG; public/private universities; research centres,Knowledge of high-Andean biodiversity for territorial valorisation/conservation.,,"open 2025-08-05, close 2025-09-17; one-off","Comuna Alto del Carmen, Región de Atacama",MMA — FPA (territorial),,3,Bases Concurso FPA Ecosistemas Altoandinos Biodiversidad -> https://fondos.mma.gob.cl/wp-content/uploads/2025/08/Bases_Concurso_FPA_Puesta_en_valor_de_los_Ecosistemas_Altoandinos_Biodiversidad.pdf ;; Res. Ex. 5165/2025 (aprueba Bases) -> https://fondos.mma.gob.cl/wp-content/uploads/2025/08/Resolucion_Ex_No5165-2025_Aprueba_Bases_Concurso_FPA_Puesta_en_valor_de_los_Ecosistemas_Altoandinos_Biodiversidad.pdf ;; Res. Ex. 224/2025 - Adjudica (awarded list) -> https://fondos.mma.gob.cl/wp-content/uploads/2026/01/Resolucion-Exenta-N°224-2025-Adjudica-FPA-Alto-del-Carmen_Bio.pdf
6,yes,cl-mma,Ministerio del Medio Ambiente (MMA),FPR 2026 - Fondo para el Reciclaje,FPR Reciclaje,municipality,grant,14000000.0,,"[""waste""]",sector-specific,explicit,closed,annual,2025-09-24,2025-10-30,direct application (via fondos.gob.cl),detailed,2026-06-08,https://fondos.mma.gob.cl/fpr-2026-fondo-para-el-reciclaje/,FPR,ok,"$14,000,000 CLP per project",Municipalities OR Associations of Municipalities (one application each),"Reduce organic/inorganic waste; integral waste management via citizen awareness, municipal + base-recycler technical capacity, prevention/separation/reuse/recycling.",REVOKED — Res. Ex. 548/2026 left the 12th FPR 2026 call without effect; results actas published,"open 2025-09-24, close 2025-11-07",,Ministerio del Medio Ambiente (MMA) — FPR (Ley 20.920 REP),,6,Bases Especiales FPR 2026 -> https://fondos.mma.gob.cl/wp-content/uploads/2025/09/Bases_Fondo_para_el_Reciclaje_2026.pdf ;; Anexo 5 - Pauta de Evaluación -> https://fondos.mma.gob.cl/wp-content/uploads/2025/09/Anexo-5-Pauta-de-Evaluacion.docx.pdf ;; Manual de Ejecución FPR 2026 -> https://fondos.mma.gob.cl/wp-content/uploads/2025/09/Manual_de_Ejecucion_de_Proyectos_FPR_2026.pdf ;; Res. Ex. 6534/2025 (aprueba Bases) -> https://fondos.mma.gob.cl/wp-content/uploads/2025/09/RES.-EX.-N°-6534-2025_APRUEBA-BASES-ESPECIALES-DEL-FPR-ANO-2026-.pdf ;; Res. Ex. 548/2026 (revoca convocatoria) -> https://fondos.mma.gob.cl/wp-content/uploads/2026/01/ResEx-548_2026-que-revoca-ResEx-6534_2025-que-aprueba-FPR-2026.pdf ;; Actas de Admisibilidad FPR 2026 (rectificadas) -> https://fondos.mma.gob.cl/wp-content/uploads/2026/01/Consolidado-Nacional-Actas-Admisibilidad-FPR-2026-_-con-Actas.pdf
7,no,cl-mma,Ministerio del Medio Ambiente (MMA),FPA 2025 – TSEJ comuna de Tocopilla,FPA TSEJ (zonas),unspecified,grant,,,"[""cross_sector""]",sector-specific,explicit,closed,one-off,2025-07-01,,direct application (via fondos.gob.cl),index,2026-06-08,https://fondos.mma.gob.cl/fpa-tsej-2025-tocopilla/,FPA,,,,,,,,,,0,
8,no,cl-mma,Ministerio del Medio Ambiente (MMA),FPA 2025 – TSEJ comuna de Mejillones,FPA TSEJ (zonas),unspecified,grant,,,"[""cross_sector""]",sector-specific,explicit,closed,one-off,2025-07-01,,direct application (via fondos.gob.cl),index,2026-06-08,https://fondos.mma.gob.cl/fpa-tsej-2025-mejillones/,FPA,,,,,,,,,,0,
9,no,cl-mma,Ministerio del Medio Ambiente (MMA),FPA 2025 – Conservando y protegiendo la fauna silvestre (Centros de Rehabilitación o Rescate),FPA Fauna/biodiv especial,unspecified,grant,,,"[""afolu""]",sector-specific,explicit,closed,one-off,2025-05-08,,direct application (via fondos.gob.cl),index,2026-06-08,https://fondos.mma.gob.cl/fpa-2025-conservando-fauna-silvestre-crr/,FPA,,,,,,,,,,0,
